Tên đề kiểm tra,ONE KINGSMEN 2026 - Phần B - Văn hóa doanh nghiệp
Phòng ban,Tất cả
Độ khó,medium
STT,Loại,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Giải thích
1,single,Bốn giá trị văn hóa Kingsmen là:,Đoàn kết · Kỷ luật · Sáng tạo · Tiết kiệm,Linh hoạt thích ứng · Tự chủ nâng tầm · Quyết liệt thực thi · Chính trực nhất quán,Nhanh – Gọn – Rẻ – Chất,Tin cậy · Tốc độ · Tinh gọn · Tận tâm,B,Bốn giá trị chính thức — nền của mọi chuẩn hành vi.
2,single,"“Thử nhỏ, đo kết quả, chọn hướng đúng” là cách sống giá trị nào?",Chính trực nhất quán,Quyết liệt thực thi,Linh hoạt thích ứng,Tự chủ nâng tầm,C,Linh hoạt = cập nhật nhanh theo thị trường bằng thử nghiệm có đo lường.
3,single,“Lãnh đạo không chức danh” là tinh thần của giá trị:,Chính trực nhất quán,Linh hoạt thích ứng,Quyết liệt thực thi,Tự chủ nâng tầm,D,"Tự đặt chuẩn cho mình, tự chịu trách nhiệm — không chờ chức danh mới hành động."
4,single,Nhận việc nhưng đề bài chưa rõ. Hành động đúng tinh thần Tự chủ là:,Chốt mục tiêu – đầu ra – deadline với người giao trước khi bắt tay làm,Cứ làm theo cách mình hiểu,Chờ được giải thích thêm,Chuyển việc cho người khác,A,Chốt việc rõ ràng là hành vi đích số 1 — tự chủ bắt đầu từ làm rõ đề bài.
5,single,Chiến dịch đang chạy kém hiệu quả giữa chừng. Linh hoạt thích ứng nghĩa là:,Làm tiếp đúng kế hoạch vì đã duyệt,Chờ cấp trên quyết,"Thử điều chỉnh nhỏ, đo kết quả, chọn hướng đúng",Dừng ngay toàn bộ,C,Không bỏ vội cũng không cứng nhắc — điều chỉnh có đo lường.
6,single,Quyết liệt thực thi thể hiện qua:,"Chốt ưu tiên, triển khai ngay, bám đến cùng để ra kết quả",Làm nhiều việc cùng lúc,Báo cáo thật dày,Tăng ca mỗi ngày,A,"Quyết liệt đo bằng kết quả được bám đến cùng, không phải bằng độ bận rộn."
7,single,Chính trực nhất quán nghĩa là:,Lời nói – quyết định – hành động là một; thắng bằng sự thật,Giữ bí mật mọi thông tin,Luôn đồng ý với cấp trên,Không bao giờ nhận sai,A,Nhất quán giữa nói và làm; sự thật là nền của niềm tin nội bộ lẫn khách hàng.
8,single,Phát hiện báo cáo có số liệu “đẹp hơn thực tế”. Việc đúng là:,Bỏ qua vì đã gửi rồi,Chỉ sửa nếu bị phát hiện,Đổ lỗi cho người nhập liệu,"Sửa lại, báo đúng sự thật, nêu nguyên nhân và bài học",D,Nói thật về số liệu là hành vi đích — nêu rủi ro sớm thay vì làm đẹp báo cáo.
9,single,Một việc có nhiều người cùng tham gia. Trách nhiệm cuối cùng thuộc về:,Vẫn phải có MỘT người chịu trách nhiệm cuối cùng,Tất cả cùng chịu chung chung,Không ai cả,Người mới nhất trong nhóm,A,“Việc của chung” không có nghĩa là “không của ai” — một đầu mối đến cùng.
10,single,Điền vào chỗ trống: “Không chuyển việc mà không chuyển ___.”,Ngữ cảnh,Tiền,Trách nhiệm,Deadline,A,"Bàn giao kèm thông tin, chuẩn và thời hạn — người nhận không phải tự đoán."
11,single,Khách chắc chắn lấy hàng nhưng CHƯA ký xác nhận. Có ghi nhận doanh thu tháng này không?,Không — chỉ ghi nhận khi đủ căn cứ; Chính trực không đổi lấy chỉ tiêu,"Có, vì chắc chắn khách lấy","Có, nếu cuối quý thiếu số",Tùy quản lý quyết,A,Vùng xám kinh điển: ranh giới không thương lượng của Chính trực nhất quán.
12,single,Hành vi nào Kingsmen KHÔNG chấp nhận?,Hứa với khách điều chưa chắc chắn,Đổ lỗi khi có sự cố,"Làm đẹp báo cáo, giấu thông tin xấu",Cả ba hành vi trên,D,Ba hành vi đều phá niềm tin — nền tảng của phối hợp và thương hiệu.
13,single,Điều nào KHÔNG thuộc 5 hành vi đích sau 30 ngày?,Chốt việc rõ ràng,Nói thật về số liệu,Xin phép quản lý trước mọi việc nhỏ,Một đầu mối đến cùng,C,5 hành vi đích: chốt việc rõ · một đầu mối · bàn giao có ngữ cảnh · nói thật số liệu · phản hồi theo chuẩn — tự chủ chứ không xin phép vặt.
14,single,Khách phàn nàn lỗi thi công. Bước ĐẦU TIÊN đúng chuẩn là:,Giải thích đó là lỗi của thợ,Tặng quà xin lỗi ngay,Xác nhận MỘT đầu mối theo đến cùng + hẹn mốc phản hồi cụ thể,Đề nghị khách chờ công ty họp,C,Khách cần biết ai lo cho mình và khi nào có câu trả lời — trước cả khi có giải pháp.
15,single,Ba câu debrief chuẩn sau mỗi bài thực hành:,Bao nhiêu? Khi nào? Ở đâu?,What → So What → Now What,Ai đúng? Ai sai? Ai chịu trách nhiệm?,Tốt – Xấu – Rút kinh nghiệm,B,Chuyện gì xảy ra → nghĩa là gì với công việc thật → ngày mai đổi gì.
16,single,Một cam kết 30 ngày đạt chuẩn phải có đủ:,Lời hứa cố gắng hết mình,Hành vi cụ thể + thời điểm + người liên quan + dấu hiệu hoàn thành,Ít nhất 3 mục tiêu lớn,Chữ ký của giám đốc,B,Cam kết đo được thì mới giữ được — và mới xét được giải Chuyển hóa 30 ngày.
17,single,Dự án cải tiến sau chương trình có các mốc:,30 – 60 – 100 ngày,10 – 20 – 30 ngày,1 – 2 – 3 tuần,7 – 30 – 90 ngày,D,"Ngày 7 chốt kế hoạch · ngày 30 kết quả giữa kỳ · ngày 90 tổng kết, chuẩn hóa và vinh danh."
18,single,Nhịp văn hóa hằng tuần của quản lý KHÔNG bao gồm:,Bình chọn nhân viên yếu nhất tuần,1:1 review cam kết 30 ngày,Kể một câu chuyện văn hóa mỗi tháng,3 câu hỏi cố định trong họp tuần,A,"Văn hóa nuôi bằng ghi nhận và review xây dựng — không bêu tên, không phê bình công khai."
19,single,Bạn nhận một thẻ sự cố không thuộc chuyên môn mình. Đúng tinh thần Kingsmen là:,Trả lại vì không phải việc của mình,Chuyển đại cho ai đó gần nhất,Chờ quản lý phân công,Nghĩ bước tiếp theo và chủ động tìm ĐÚNG người để trao đổi,D,Sự cố không chờ đúng người — ai nhận được phải biết bước tiếp theo.
20,single,Khách hỏi một thông tin bạn chưa chắc chắn. Câu trả lời đúng chuẩn giao tiếp:,“Chắc là được anh ạ.”,“Cái này không phải việc của em.”,“Anh hỏi bộ phận khác giúp em.”,“Em chưa chắc phần này — em xác minh và phản hồi anh trước 15h hôm nay.”,D,Không hứa điều chưa chắc + hẹn mốc cụ thể — trung thực và chuyên nghiệp cùng lúc.
